Use By Technology (Energy Units)

,REG1
Technology,Fuel,Timeslice,2023
GRID,EL01,750,0
GRID,EL01,751,0
GRID,EL01,752,0
GRID,EL01,753,0
GRID,EL01,754,0
GRID,EL01,755,0
GRID,EL01,756,0
GRID,EL01,757,0
GRID,EL01,758,0
GRID,EL01,759,0
GRID,EL01,760,0
GRID,EL01,761,0
GRID,EL01,762,0
GRID,EL01,763,0
GRID,EL01,764,0
GRID,EL01,765,0
GRID,EL01,766,0
GRID,EL01,767,0
GRID,EL01,768,0
GRID,EL01,769,0
GRID,EL01,770,0
GRID,EL01,771,0
GRID,EL01,772,0
GRID,EL01,773,0
GRID,EL01,774,0
GRID,EL01,775,0
GRID,EL01,776,0
GRID,EL01,777,0
GRID,EL01,778,0
GRID,EL01,779,0
GRID,EL01,780,0
GRID,EL01,781,0
GRID,EL01,782,0
GRID,EL01,783,0
GRID,EL01,784,0
GRID,EL01,785,0
GRID,EL01,786,0
GRID,EL01,787,0
GRID,EL01,788,0
GRID,EL01,789,0
GRID,EL01,790,0
GRID,EL01,791,0
GRID,EL01,792,0
GRID,EL01,793,0
GRID,EL01,794,0
GRID,EL01,795,0
GRID,EL01,796,0
GRID,EL01,797,0
GRID,EL01,798,0
GRID,EL01,799,0
GRID,EL01,800,0
GRID,EL01,801,0
GRID,EL01,802,0
GRID,EL01,803,0
GRID,EL01,804,0
GRID,EL01,805,0
GRID,EL01,806,0
GRID,EL01,807,0
GRID,EL01,808,0
GRID,EL01,809,0
GRID,EL01,810,0
GRID,EL01,811,0
GRID,EL01,812,0
GRID,EL01,813,0
GRID,EL01,814,0
GRID,EL01,815,0
GRID,EL01,816,0
GRID,EL01,817,0
GRID,EL01,818,0
GRID,EL01,819,0
GRID,EL01,820,0
GRID,EL01,821,0
GRID,EL01,822,0
GRID,EL01,823,0
GRID,EL01,824,0
GRID,EL01,825,0
GRID,EL01,826,0
GRID,EL01,827,0
GRID,EL01,828,0
GRID,EL01,829,0
GRID,EL01,830,0
GRID,EL01,831,0
GRID,EL01,832,0
GRID,EL01,833,0
GRID,EL01,834,0
GRID,EL01,835,0
GRID,EL01,836,0
GRID,EL01,837,0
GRID,EL01,838,0
GRID,EL01,839,0
GRID,EL01,840,0
GRID,EL01,841,0
GRID,EL01,842,0
GRID,EL01,843,0
GRID,EL01,844,0
GRID,EL01,845,0
GRID,EL01,846,0
GRID,EL01,847,0
GRID,EL01,848,0
GRID,EL01,849,0
GRID,EL01,850,0
GRID,EL01,851,0
GRID,EL01,852,0
GRID,EL01,853,0
GRID,EL01,854,0
GRID,EL01,855,0
GRID,EL01,856,0
GRID,EL01,857,0
GRID,EL01,858,0
GRID,EL01,859,0
GRID,EL01,860,0
GRID,EL01,861,0
GRID,EL01,862,0
GRID,EL01,863,0
GRID,EL01,864,0
GRID,EL01,865,0
GRID,EL01,866,0
GRID,EL01,867,0
GRID,EL01,868,0
GRID,EL01,869,0
GRID,EL01,870,0
GRID,EL01,871,0
GRID,EL01,872,0
GRID,EL01,873,0
GRID,EL01,874,0
GRID,EL01,875,0
GRID,EL01,876,0
GRID,EL01,877,0
GRID,EL01,878,0
GRID,EL01,879,0
GRID,EL01,880,0
GRID,EL01,881,0
GRID,EL01,882,0
GRID,EL01,883,0
GRID,EL01,884,0
GRID,EL01,885,0
GRID,EL01,886,0
GRID,EL01,887,0
GRID,EL01,888,0
GRID,EL01,889,0
GRID,EL01,890,0
GRID,EL01,891,0
GRID,EL01,892,0
GRID,EL01,893,0
GRID,EL01,894,0
GRID,EL01,895,0
GRID,EL01,896,0
GRID,EL01,897,0
GRID,EL01,898,0
GRID,EL01,899,0
GRID,EL01,900,0
GRID,EL01,901,0
GRID,EL01,902,0
GRID,EL01,903,0
GRID,EL01,904,0
GRID,EL01,905,0
GRID,EL01,906,0
GRID,EL01,907,0
GRID,EL01,908,0
GRID,EL01,909,0
GRID,EL01,910,0
GRID,EL01,911,0
GRID,EL01,912,0
GRID,EL01,913,0
GRID,EL01,914,0
GRID,EL01,915,0
GRID,EL01,916,0
GRID,EL01,917,0
GRID,EL01,918,0
GRID,EL01,919,0
GRID,EL01,920,0
GRID,EL01,921,0
GRID,EL01,922,0
GRID,EL01,923,0
GRID,EL01,924,0
GRID,EL01,925,0
GRID,EL01,926,0
GRID,EL01,927,0
GRID,EL01,928,0
GRID,EL01,929,0
GRID,EL01,930,0
GRID,EL01,931,0
GRID,EL01,932,0
GRID,EL01,933,0
GRID,EL01,934,0
GRID,EL01,935,0
GRID,EL01,936,0
GRID,EL01,937,0
GRID,EL01,938,0
GRID,EL01,939,0
