
Time Dependent Production (Energy Units) Test

,REG1
Fuel,Timeslice,2023
EL01,496,11.8622
EL01,497,11.8622
EL01,498,11.8622
EL01,499,11.8622
EL01,500,11.8622
EL01,501,11.8622
EL01,502,11.8622
EL01,503,11.8622
EL01,504,11.8622
EL01,505,11.8622
EL01,506,11.8622
EL01,507,11.8622
EL01,508,11.8622
EL01,509,11.8622
EL01,510,11.8622
EL01,511,11.8622
EL01,512,11.8622
EL01,513,11.8622
EL01,514,11.8622
EL01,515,11.8622
EL01,516,11.8622
EL01,517,11.8622
EL01,518,11.8622
EL01,519,11.8622
EL01,520,11.8622
EL01,521,11.8622
EL01,522,11.8622
EL01,523,11.8622
EL01,524,11.8622
EL01,525,11.8622
EL01,526,11.8622
EL01,527,11.8622
EL01,528,11.8622
EL01,529,11.8622
EL01,530,11.8622
EL01,531,11.8622
EL01,532,11.8622
EL01,533,11.8622
EL01,534,11.8622
EL01,535,11.8622
EL01,536,11.8622
EL01,537,11.8622
EL01,538,11.8622
EL01,539,11.8622
EL01,540,11.8622
EL01,541,11.8622
EL01,542,11.8622
EL01,543,11.8622
EL01,544,11.8622
EL01,545,11.8622
EL01,546,11.8622
EL01,547,11.8622
EL01,548,11.8622
EL01,549,11.8622
EL01,550,11.8622
EL01,551,11.8622
EL01,552,11.8622
EL01,553,11.8622
EL01,554,11.8622
EL01,555,11.8622
EL01,556,11.8622
EL01,557,11.8622
EL01,558,11.8622
EL01,559,11.8622
EL01,560,11.8622
EL01,561,11.8622
EL01,562,11.8622
EL01,563,11.8622
EL01,564,11.8622
EL01,565,11.8622
EL01,566,11.8622
EL01,567,11.8622
EL01,568,11.8622
EL01,569,11.8622
EL01,570,11.8622
EL01,571,11.8622
EL01,572,11.8622
EL01,573,11.8622
EL01,574,11.8622
EL01,575,11.8622
EL01,576,11.8622
EL01,577,11.8622
EL01,578,11.8622
EL01,579,11.8622
EL01,580,11.8622
EL01,581,11.8622
EL01,582,11.8622
EL01,583,11.8622
EL01,584,11.8622
EL01,585,11.8622
EL01,586,11.8622
EL01,587,11.8622
EL01,588,11.8622
EL01,589,11.8622
EL01,590,11.8622
EL01,591,11.8622
EL01,592,11.8622
EL01,593,11.8622
EL01,594,11.8622
EL01,595,11.8622
EL01,596,11.8622
EL01,597,11.8622
EL01,598,11.8622
EL01,599,11.8622
